session,horizon,n_universe,mkt_ret,mkt_ret_bps,gate_state,sign,truth_state
2026-02-02,1,475,0.004925654827068837,49.25654827068837,Bearish,1,Bullish
2026-02-02,3,475,-0.005585988875742315,-55.85988875742315,Range,-1,Bearish
2026-02-02,5,475,0.0007124384032074807,7.124384032074807,Range,1,Range
2026-02-03,1,487,-0.009932719947230764,-99.32719947230764,Bullish,-1,Bearish
2026-02-03,3,487,-0.04048733981794529,-404.8733981794529,Range,-1,Bearish
2026-02-03,5,487,0.005228193155898299,52.281931558983,Bullish,1,Bullish
2026-02-04,1,522,-0.0031874622776301644,-31.874622776301642,Range,-1,Bearish
2026-02-04,3,522,0.003546662067706984,35.46662067706984,Range,1,Range
2026-02-04,5,522,0.006977098919029911,69.77098919029912,Range,1,Bullish
2026-02-05,1,522,-0.018308922816081766,-183.08922816081767,Bearish,-1,Bearish
2026-02-05,3,522,0.030764683969772437,307.6468396977244,Bearish,1,Bullish
2026-02-05,5,522,-0.001380145854509163,-13.80145854509163,Range,-1,Range
2026-02-06,1,527,0.023121996832781884,231.21996832781883,Bearish,1,Bullish
2026-02-06,3,527,0.027493658836817914,274.9365883681791,Bearish,1,Bullish
2026-02-06,5,527,0.0172591703259473,172.591703259473,Range,1,Bullish
2026-02-10,1,483,-0.00041760513773386775,-4.176051377338678,Bullish,-1,Range
2026-02-10,3,483,-0.02887992222420583,-288.7992222420583,Range,-1,Bearish
2026-02-10,5,483,-0.020898029566067317,-208.98029566067316,Bullish,-1,Bearish
2026-02-11,1,498,-0.013072765897599722,-130.72765897599723,Range,-1,Bearish
2026-02-11,3,498,-0.021544749258317633,-215.44749258317634,Range,-1,Bearish
2026-02-11,5,498,-0.015259380503978806,-152.59380503978807,Bullish,-1,Bearish
2026-02-12,1,516,-0.026851964262743184,-268.51964262743184,Bullish,-1,Bearish
2026-02-12,3,516,-0.01821850876486709,-182.1850876486709,Bullish,-1,Bearish
2026-02-12,5,516,-0.0059290533674598855,-59.290533674598855,Bullish,-1,Bearish
2026-02-13,1,544,0.009740552053069274,97.40552053069274,Bearish,1,Bullish
2026-02-13,3,544,0.01744767867618296,174.4767867618296,Bearish,1,Bullish
2026-02-13,5,544,0.017327774755283576,173.27774755283576,Range,1,Bullish
2026-02-17,1,513,-0.0009380910199366876,-9.380910199366875,Range,-1,Range
2026-02-17,3,513,0.013145566351717233,131.45566351717233,Range,1,Bullish
2026-02-17,5,513,-0.007879919000119875,-78.79919000119875,Bullish,-1,Bearish
2026-02-18,1,537,0.008906035158245706,89.06035158245706,Range,1,Bullish
2026-02-18,3,537,0.008833334245142103,88.33334245142103,Range,1,Bullish
2026-02-18,5,537,0.00560963543691936,56.0963543691936,Bullish,1,Bullish
2026-02-19,1,552,0.0050911116562656795,50.911116562656794,Range,1,Bullish
2026-02-19,3,552,-0.014070037973615144,-140.70037973615143,Bullish,-1,Bearish
2026-02-19,5,552,0.009028938016399202,90.28938016399202,Bullish,1,Bullish
2026-02-20,1,547,0.0030322420337984923,30.322420337984923,Range,1,Bullish
2026-02-20,3,547,0.0010055759868983472,10.055759868983472,Range,1,Range
2026-02-20,5,547,0.017828295200451462,178.2829520045146,Range,1,Bullish
2026-02-23,1,527,-0.01247506474668537,-124.7506474668537,Bullish,-1,Bearish
2026-02-23,3,527,0.010755371176798466,107.55371176798467,Bullish,1,Bullish
2026-02-23,5,527,0.008734328288437678,87.34328288437678,Range,1,Bullish
2026-02-24,1,521,0.01625561247041118,162.55612470411182,Bearish,1,Bullish
2026-02-24,3,521,0.03461928011893219,346.1928011893219,Bearish,1,Bullish
2026-02-24,5,521,0.02681350072598742,268.1350072598742,Range,1,Bullish
2026-02-25,1,542,0.0023034392002406314,23.034392002406314,Bullish,1,Range
2026-02-25,3,542,0.0015755617782770826,15.755617782770827,Range,1,Range
2026-02-25,5,542,-0.009430840555368417,-94.30840555368417,Bullish,-1,Bearish
2026-02-26,1,552,0.009607093353431365,96.07093353431365,Bullish,1,Bullish
2026-02-26,3,552,0.00461127042417693,46.1127042417693,Bullish,1,Range
2026-02-26,5,552,-0.001056749096770306,-10.56749096770306,Bullish,-1,Range
2026-02-27,1,554,0.002810094752389833,28.10094752389833,Range,1,Bullish
2026-02-27,3,554,-0.007714934460930535,-77.14934460930534,Range,-1,Bearish
2026-02-27,5,554,-0.002159681907946934,-21.596819079469338,Range,-1,Range
2026-03-02,1,512,0.019452632240761512,194.5263224076151,Range,1,Bullish
2026-03-02,3,512,0.014513450688448018,145.13450688448017,Range,1,Bullish
2026-03-02,5,512,-0.008025488478137785,-80.25488478137785,Bullish,-1,Bearish
2026-03-03,1,509,0.00895103078057767,89.5103078057767,Range,1,Bullish
2026-03-03,3,509,0.015479596542164515,154.79596542164515,Range,1,Bullish
2026-03-03,5,509,0.007971588142637655,79.71588142637655,Bullish,1,Bullish
2026-03-04,1,524,0.004324128241482227,43.241282414822265,Bearish,1,Bullish
2026-03-04,3,524,-0.01779793493466474,-177.97934934664738,Bearish,-1,Bearish
2026-03-04,5,524,-0.015433075258680002,-154.33075258680003,Range,-1,Bearish
2026-03-05,1,529,0.0002340395894934257,2.340395894934257,Range,1,Range
2026-03-05,3,529,-0.0076152342605979315,-76.15234260597931,Bearish,-1,Bearish
2026-03-05,5,529,-0.036040369255214616,-360.40369255214614,Range,-1,Bearish
2026-03-06,1,535,-0.0017477445533440918,-17.477445533440918,Bearish,-1,Range
2026-03-06,3,535,0.0014087256942995736,14.087256942995735,Bearish,1,Range
2026-03-06,5,535,-0.023168850687946482,-231.68850687946482,Range,-1,Bearish
2026-03-09,1,478,0.02130269122325231,213.0269122325231,Bearish,1,Bullish
2026-03-09,3,478,-0.0057877962005679255,-57.87796200567926,Range,-1,Bearish
2026-03-09,5,478,0.003209140933967906,32.09140933967906,Range,1,Range
2026-03-11,1,536,-0.001725617535536658,-17.25617535536658,Range,-1,Range
2026-03-11,3,536,-0.02592082178959862,-259.2082178959862,Range,-1,Bearish
2026-03-11,5,536,-0.02284183086228277,-228.4183086228277,Range,-1,Bearish
2026-03-12,1,541,-0.011878356849065044,-118.78356849065044,Range,-1,Bearish
2026-03-12,3,541,-0.004990815746659957,-49.90815746659957,Range,-1,Bearish
2026-03-12,5,541,-0.011603980498634507,-116.03980498634506,Bearish,-1,Bearish
2026-03-13,1,525,-0.009628061980244578,-96.28061980244578,Bearish,-1,Bearish
2026-03-13,3,525,-0.006597170428085832,-65.97170428085832,Bearish,-1,Bearish
2026-03-13,5,525,-0.027304357306858925,-273.04357306858924,Range,-1,Bearish
2026-03-16,1,498,-0.0005380380627271244,-5.3803806272712436,Bearish,-1,Range
2026-03-16,3,498,-0.009344660508244469,-93.44660508244469,Range,-1,Bearish
2026-03-16,5,498,-0.011222279653078154,-112.22279653078154,Range,-1,Bearish
2026-03-18,1,513,-0.009987244563909547,-99.87244563909547,Range,-1,Bearish
2026-03-18,3,513,-0.030816956504697388,-308.1695650469739,Bullish,-1,Bearish
2026-03-18,5,513,-0.01608050260777057,-160.8050260777057,Bullish,-1,Bearish
2026-03-19,1,514,0.0115526456190041,115.526456190041,Bearish,1,Bullish
2026-03-19,3,514,0.010013657095398611,100.13657095398611,Bearish,1,Bullish
2026-03-19,5,514,0.016657226426617495,166.57226426617495,Range,1,Bullish
2026-03-20,1,528,-0.017881059574324027,-178.81059574324027,Bearish,-1,Bearish
2026-03-20,3,528,-0.0031623254819419665,-31.623254819419664,Range,-1,Range
2026-03-20,5,528,-0.008998985437669726,-89.98985437669727,Range,-1,Bearish
2026-03-23,1,500,0.004850131353651582,48.501313536515816,Bearish,1,Bullish
2026-03-23,3,500,0.011172174185854361,111.72174185854361,Bearish,1,Bullish
2026-03-23,5,500,-0.022643626826929816,-226.43626826929815,Range,-1,Bearish
2026-03-24,1,499,0.00533772319868957,53.3772319868957,Range,1,Bullish
2026-03-24,3,499,-0.00250373708137604,-25.037370813760397,Bearish,-1,Range
2026-03-24,5,499,-0.029966150103719794,-299.6615010371979,Range,-1,Bearish
2026-03-25,1,527,-0.004000289129974279,-40.00289129974279,Bearish,-1,Bearish
2026-03-25,3,527,-0.036915056418808344,-369.1505641880834,Range,-1,Bearish
2026-03-25,5,527,-0.014451645633114027,-144.51645633114026,Range,-1,Bearish
2026-03-26,1,541,-0.005771580404250791,-57.71580404250791,Range,-1,Bearish
2026-03-26,3,541,-0.032525935835059104,-325.259358350591,Range,-1,Bearish
2026-03-26,5,541,0.0020631531256944846,20.631531256944847,Range,1,Range
2026-03-27,1,514,-0.011624556784042974,-116.24556784042974,Bearish,-1,Bearish
2026-03-27,3,514,0.01192387622496976,119.2387622496976,Bearish,1,Bullish
2026-03-27,5,514,0.021613978216258725,216.13978216258724,Range,1,Bullish
2026-03-30,1,497,-0.017477920844675136,-174.77920844675137,Bearish,-1,Bearish
2026-03-30,3,497,0.017825063327029954,178.25063327029955,Bearish,1,Bullish
2026-03-30,5,497,0.0290099240595778,290.099240595778,Range,1,Bullish
2026-03-31,1,490,0.02149194484361141,214.9194484361141,Bearish,1,Bullish
2026-03-31,3,490,0.032590155561341316,325.90155561341317,Bearish,1,Bullish
2026-03-31,5,490,0.034288708759171345,342.88708759171345,Bearish,1,Bullish
2026-05-01,1,501,-0.0007102221136022297,-7.102221136022297,Bullish,-1,Range
2026-05-01,3,501,0.005163972560383702,51.63972560383702,Bullish,1,Bullish
2026-05-01,5,501,0.011602684851890836,116.02684851890835,Range,1,Bullish
2026-05-04,1,484,-0.002104810052573044,-21.04810052573044,Bullish,-1,Range
2026-05-04,3,484,0.019947217362285177,199.47217362285178,Bullish,1,Bullish
2026-05-04,5,484,0.01689069345751827,168.9069345751827,Range,1,Bullish
2026-05-05,1,469,0.0021508794903236377,21.508794903236378,Range,1,Range
2026-05-05,3,469,0.009516334150325396,95.16334150325396,Range,1,Bullish
2026-05-05,5,469,0.01734957217060957,173.49572170609568,Bearish,1,Bullish
2026-05-06,1,496,0.005609559387688215,56.09559387688215,Bullish,1,Bullish
2026-05-06,3,496,0.004706204135851241,47.06204135851241,Bullish,1,Bullish
2026-05-06,5,496,-0.0014571140746317138,-14.571140746317138,Range,-1,Range
2026-05-07,1,516,-0.010691663210843184,-106.91663210843184,Bullish,-1,Bearish
2026-05-07,3,516,-0.005652518392279857,-56.52518392279857,Range,-1,Bearish
2026-05-07,5,516,-0.016274086584208494,-162.74086584208493,Range,-1,Bearish
2026-05-08,1,534,4.599173456721352e-05,0.4599173456721352,Bullish,1,Range
2026-05-08,3,534,-0.00588904196048419,-58.890419604841895,Range,-1,Bearish
2026-05-08,5,534,-0.004199790892726576,-41.99790892726576,Range,-1,Range
2026-05-11,1,461,0.0018616114579444645,18.616114579444645,Bullish,1,Range
2026-05-11,3,461,-0.010992809737626322,-109.92809737626322,Range,-1,Bearish
2026-05-11,5,461,-0.01760237446547053,-176.0237446547053,Bullish,-1,Bearish
2026-05-12,1,486,-0.0036710543620444877,-36.710543620444874,Range,-1,Bearish
2026-05-12,3,486,-0.0018053222691121486,-18.053222691121487,Range,-1,Range
2026-05-12,5,486,-0.014548032268839727,-145.48032268839728,Bullish,-1,Bearish
2026-05-13,1,500,-0.004042993412597499,-40.42993412597499,Range,-1,Bearish
2026-05-13,3,500,-0.012202485750505566,-122.02485750505566,Range,-1,Bearish
2026-05-13,5,500,-0.020661465460060507,-206.61465460060506,Bullish,-1,Bearish
2026-05-14,1,514,0.0035174674707268636,35.174674707268636,Bullish,1,Bullish
2026-05-14,3,514,-0.00808511330887401,-80.8511330887401,Bullish,-1,Bearish
2026-05-14,5,514,0.0008554462758554717,8.554462758554717,Range,1,Range
2026-05-15,1,497,-0.003281467788646893,-32.81467788646893,Bullish,-1,Bearish
2026-05-15,3,497,-0.011229490613232581,-112.2949061323258,Bullish,-1,Bearish
2026-05-15,5,497,0.015866617694574706,158.66617694574705,Bullish,1,Bullish
2026-05-18,1,434,-0.001650237126142194,-16.502371261421942,Bearish,-1,Range
2026-05-18,3,434,0.008075070355068884,80.75070355068884,Bearish,1,Bullish
2026-05-18,5,434,0.029401710416060992,294.0171041606099,Range,1,Bullish
2026-05-19,1,431,-0.004257899563292202,-42.578995632922016,Bearish,-1,Bearish
2026-05-19,3,431,0.024509984445733365,245.09984445733366,Range,1,Bullish
2026-05-19,5,431,0.04437697825339443,443.7697825339443,Range,1,Bullish
2026-05-20,1,475,0.015121583328081837,151.21583328081837,Bearish,1,Bullish
2026-05-20,3,475,0.037243692221357434,372.43692221357435,Range,1,Bullish
2026-05-20,5,475,0.04742209158723285,474.22091587232853,Range,1,Bullish
2026-05-21,1,485,0.014716678139432428,147.1667813943243,Bullish,1,Bullish
2026-05-21,3,485,0.03418735253635745,341.8735253635745,Range,1,Bullish
2026-05-21,5,485,0.04989532607602576,498.9532607602576,Range,1,Bullish
2026-05-22,1,485,0.005080125783026672,50.801257830266714,Bullish,1,Bullish
2026-05-22,3,485,0.014605606468263265,146.05606468263264,Range,1,Bullish
2026-05-22,5,485,0.03530682451025709,353.06824510257087,Range,1,Bullish
2026-05-26,1,444,0.00010654203586427387,1.0654203586427387,Bullish,1,Range
2026-05-26,3,444,0.01397771177105964,139.7771177105964,Range,1,Bullish
2026-05-26,5,444,0.03380183566165048,338.0183566165048,Bullish,1,Bullish
2026-05-27,1,477,0.0008585910453707241,8.58591045370724,Bullish,1,Range
2026-05-27,3,477,0.02125380607841035,212.53806078410352,Bullish,1,Bullish
2026-05-27,5,477,0.03552775274299373,355.2775274299373,Bullish,1,Bullish
2026-05-28,1,514,0.011696997629901396,116.96997629901395,Bullish,1,Bullish
2026-05-28,3,514,0.034011348804519774,340.11348804519776,Bullish,1,Bullish
2026-05-28,5,514,0.01317969427753235,131.7969427753235,Bullish,1,Bullish
2026-05-29,1,520,0.006746009350982667,67.46009350982668,Bullish,1,Bullish
2026-05-29,3,520,0.021510551943731665,215.10551943731664,Bullish,1,Bullish
2026-05-29,5,520,0.009936228880056835,99.36228880056835,Range,1,Bullish
2026-06-09,1,426,-0.01020370698001946,-102.0370698001946,Range,-1,Bearish
2026-06-09,3,426,-0.0025189097007587897,-25.189097007587897,Range,-1,Range
2026-06-09,5,426,0.01931271669193141,193.12716691931408,Range,1,Bullish
2026-06-10,1,440,-0.010965330827827049,-109.65330827827049,Range,-1,Bearish
2026-06-10,3,440,0.021727484178753968,217.27484178753969,Range,1,Bullish
2026-06-10,5,440,0.02977376007066922,297.7376007066922,Range,1,Bullish
